"(0.2672, 0.1616, 0.4621, -0.3454, 0.2495)",[3.0994 1.7356 0.25  ]
"(-0.4121, 0.2703, 0.3912, -0.3408, -0.0297)",[3.506  0.7376 0.25  ]
"(0.3023, 0.3264, -0.4238, 0.1947, -0.4538)",[ 3.4369 -1.154   0.25  ]
"(0.2184, 0.2022, -0.0175, -0.3868, -0.428)",[ 3.4181 -1.239   0.25  ]
"(0.3302, 0.2337, -0.4958, -0.0249, 0.2633)",[3.5674 0.6477 0.25  ]
"(0.1994, 0.4342, 0.036, 0.138, -0.4868)",[ 3.5872 -0.0927  0.25  ]
"(-0.2041, 0.0475, -0.0228, 0.2465, -0.4323)",[ 3.4881 -1.1288  0.25  ]
"(0.2315, 0.2337, 0.0535, 0.0539, -0.4461)",[ 3.6014 -0.5552  0.25  ]
"(0.3671, -0.2162, -0.3972, -0.1796, -0.0656)",[ 3.1598 -1.5237  0.25  ]
"(-0.4595, 0.0807, 0.4293, -0.3368, -0.0181)",[3.5886 0.3477 0.25  ]
"(0.4298, 0.2622, -0.1975, -0.197, -0.108)",[ 3.6569 -0.0822  0.25  ]
"(0.0521, -0.3526, 0.3971, 0.0564, 0.4476)",[3.358  1.3468 0.25  ]
"(0.0053, -0.3981, 0.0623, -0.0265, -0.498)",[ 2.742  -2.2826  0.25  ]
"(0.0915, -0.2788, 0.3634, -0.3938, 0.0901)",[ 3.6566 -0.117   0.25  ]
"(0.0494, 0.4833, -0.477, 0.1915, 0.2733)",[3.3391 1.3824 0.25  ]
"(0.2742, -0.0209, 0.0375, -0.2697, -0.3701)",[ 3.3937 -1.3466  0.25  ]
"(0.3792, -0.0886, -0.2583, -0.0975, -0.2688)",[ 3.3003 -1.4657  0.25  ]
"(-0.3886, 0.2139, -0.2153, -0.0472, 0.3967)",[3.4406 1.1261 0.25  ]
"(-0.3365, -0.4756, 0.4513, 0.5046, -0.2462)",[ 3.4546 -0.7542  0.25  ]
